category,key,value,status,source_or_command,notes
hardware,gpu_count,4,confirmed,nvidia-smi,NVIDIA A100
hardware,gpu_memory_each_gib,40,confirmed,nvidia-smi,
hardware,system_ram_gib,360,confirmed,remote inspection,approximately
software,python,3.12,confirmed,python --version,
software,torch,2.5.1+cu121,confirmed,python import,
software,transformers,5.6.0,confirmed,python import,
software,llamafactory,0.9.5,confirmed,llamafactory-cli version,
software,deepspeed,0.18.0,confirmed,python import,
training,attention,sdpa,confirmed,YAML,FA2 incompatible with observed s_aux None
training,full_distributed,ZeRO-3 no offload,confirmed,YAML,4 GPU
reproducibility,random_seed,42,mixed,default Full and explicit LoRA,final report must verify each run
reproducibility,deterministic_algorithms,PENDING,pending,environment snapshot,do not assume

